DEPART;ARRIVEE;DISTANCES;DUREE;Duree_en_minutes
Berlin;Amsterdam;746;07:24:00;444
Berlin;Copenhague;440;06:25:00;385
Berlin;Varsovie;573;05:27:00;327
Berlin;Prague;349;03:39:00;219
Berlin;Vienne;685;06:55:00;415
Berlin;Paris;1074;10:25:00;625
Berlin;Luxembourg;796;07:51:00;471
Berlin;Bruxelles;765;07:22;442
Vienne;Budapest;243;02:44:00;164
Vienne;Bratislava;79;01:11:00;71
Vienne;Prague;337;03:28:00;208
Vienne;Ljubljana;384;03:44:00;224
Vienne;Rome;1135;11:11:00;671
Vienne;Berne;843;08:15:00;495
Vienne;Vaduz;652;06:20:00;380
Bruxelles;Amsterdam;210;02:23:00;143
Bruxelles;Paris;326;03:44:00;224
Bruxelles;Luxembourg;198;02:25:00;145
Copenhague;Stockholm;657;06:48:00;408
Madrid;Paris;1272;12:12:00;732
Madrid;Lisbonne;630;06:02:00;362
Tallinn;Helsinki;87;03:11:00;191
Tallinn;Riga;309;04:02:00;242
Helsinki;Stockholm;479;11:28:00;688
Paris;Luxembourg;409;03:47:00;227
Paris;Rome;1421;13:53:00;833
Paris;Berne;571;05:44:00;344
Budapest;Bratislava;201;02:01:00;121
Budapest;Ljubljana;463;04:19:00;259
Rome;Ljubljana;752;07:28:00;448
Rome;Athènes;1273;19:18:00;1158
Riga;Vilnius;294;03:54:00;234
Riga;Stockholm;521;14:26:00;866
Vilnius;Varsovie;479;05:55:00;355
Luxembourg;Paris;409;03:52:00;232
Varsovie;Bratislava;662;06:36:00;396
Varsovie;Prague;638;06:38:00;398
Prague;Bratislava;328;03:03:00;183
Berne;Rome;924;09:30:00;570
Berne;Berlin;956;09:26:00;566
Vaduz;Berne;230;02:27:00;147
Oslo;Stockholm;522;05:53:00;353
